date,time,open,high,low,close,volume
2016-01-26,08:00:00,396.24,396.24,394.54,395.29,42.65279329999999
2016-01-26,09:00:00,395.11,395.15,393.65,395.0,54.880790999999995
2016-01-26,10:00:00,395.0,395.0,394.71,395.0,92.32979190999994
2016-01-26,11:00:00,395.0,395.0,391.25,391.33,89.42064748000001
2016-01-26,12:00:00,391.5,392.5,390.76,392.49,114.86304819000019
2016-01-26,13:00:00,392.36,394.48,392.36,393.76,81.63122457000011
2016-01-26,14:00:00,393.69,394.0,393.15,393.9,161.95450499999998
2016-01-26,15:00:00,393.87,393.87,392.58,393.16,112.81037199000009
2016-01-26,16:00:00,393.2,393.25,392.4,393.0,152.06665599999994
2016-01-26,17:00:00,393.0,393.0,392.63,392.72,98.96834596000001
2016-01-26,18:00:00,392.71,393.1,392.39,393.1,82.22056669000004
2016-01-26,19:00:00,393.03,394.44,392.42,394.44,136.44856147000002
2016-01-26,20:00:00,394.49,395.3,387.78,391.54,127.38077942000022
2016-01-26,21:00:00,391.7,392.17,390.73,391.76,88.6764214900001
2016-01-26,22:00:00,391.79,392.74,391.57,392.74,73.83834246999997
2016-01-26,23:00:00,392.72,393.81,392.55,393.21,84.40420979999999
2016-01-27,00:00:00,393.23,393.23,392.09,392.43,76.31380975000003
2016-01-27,01:00:00,392.43,394.23,392.11,393.53,79.64008016000002
2016-01-27,02:00:00,393.59,395.94,393.56,395.23,110.89536438000005
2016-01-27,03:00:00,395.23,397.18,394.96,396.75,83.53780642000005
2016-01-27,04:00:00,396.78,396.85,394.99,395.99,63.108411939999954
2016-01-27,05:00:00,396.04,396.07,394.03,395.27,45.33365277
2016-01-27,06:00:00,395.27,396.03,394.36,394.73,54.01242559
2016-01-27,07:00:00,394.95,395.72,394.34,395.5,52.49605804000001
2016-01-27,08:00:00,395.67,395.67,394.96,395.0,65.25053828
2016-01-27,09:00:00,394.99,395.0,393.91,393.96,88.60755164000004
2016-01-27,10:00:00,393.99,394.5,393.98,394.49,107.41058901999996
2016-01-27,11:00:00,394.49,395.0,394.42,394.73,103.62864368000005
2016-01-27,12:00:00,394.73,395.0,393.51,394.41,110.49233986000009
2016-01-27,13:00:00,394.38,394.91,394.26,394.51,119.7270373
2016-01-27,14:00:00,394.5,394.75,394.01,394.56,135.76703070000002
